ditto mark,〃
pencil,鉛筆
pencil sharpener,エンピツ削り
mandarin duck (Aix galericulata),鴛鴦
dull,塩っぱい
chloride,塩化
chloroethylene,塩化ビニル
hydrogen chloride,塩化水素
chloride,塩化物
amount of salt,塩かげん
base,塩基
saltiness,鹹気
salted salmon,塩鮭
hydrochloric acid,塩酸
boiling in salted water (e.g. fish),塩煮
boiling seawater to get salt,塩焼
shiokara,塩から
chlorine (Cl),塩素
chloric acid,塩素酸
chlorate,塩素酸塩
salted food,塩蔵食品
field for drying salt,塩田
hot salt water (incl. bath),塩湯
salted beans,塩豆
salt shaker,塩入れ
salt concentration,塩濃度
serving one's lord well (of a retainer),塩梅
(hot) saltwater bath,潮風呂
salted fish,塩物
salt content,塩分
saltiness,塩味
salts,塩類
saline,塩類溶液
on,置いて
for,於ける
greedy,汚ない
dirty trick,汚いやり方
to defile,穢す
repulsive,穢らわしい
uncleanliness from contact with death, pregnancy, menstruation, etc.,穢れ
to be stained,穢れる
to lose one's chastity,汚れる
corruption,汚職
insult,汚辱
sewage,汚水
contamination,汚染
contaminant,汚染菌
source of pollution,汚染源
decontamination,汚染除去
damage,汚損
graft,汚濁
despair,汚泥
disgrace,汚点
dust,汚物
infamy,汚名
nephew,甥
sunken,凹
to humiliate,凹ます
to humiliate,凹ませる
to be low (as a hollow),凹まる
to lose,凹む
to hollow out,凹める
concave lens,凹レンズ
cavernous eyes,凹眼
concave glasses,凹眼鏡
concavity,凹型
depression,凹所
rice field in a low place,凹田
disparity,凹凸
concave,凹面
concave mirror,凹面鏡
pond in a hollow,窪溜まり
heart,奧
madam,奥さん
doing things for one's wife,奥さん孝行
holy of holies,奥之院
inner room,奥の間
left hand,奥の手
innermost,奥まって
to extend far back,奥まる
true intention,奥意
official seal,奥印
heart,奥技
diploma,奥許し
working as a lady's maid,奥勤め
noble's private quarters,奥御殿
personal business,奥向き
length,奥行
living room,奥座敷
mountain recesses,奥山
deep knowledge,奥旨
back teeth,奥歯
publication (in a book),奥書き
restrained,奥床しい
interior,奥深い
back yard,奥庭
publication information,奥付け
nobleman's wife,奥方
secret,奥妙
madam,奥さま
round trip,往き返り
to dodge,去なす
highway,往還
outward voyage,往航
past events,往事
ancient times,往時
first half of a reply card,往信
house call,往診
coercion,往生
ancient times,往昔
ancient times,往日
the past,往年
visiting one another,往復
round trip,往返
calling on,往訪
correspondence,往来
outward journey,往路
to be a strain,徹える
depending on,応じて
to apply for,応じる
support,応援
supporters' song,応援歌
cheering squad,応援団
head cheerleader,応援団長
first-aid,応急
hasty attack,応急攻撃
hasty crossing,応急渡河
riposte,応酬
answering a call-up,応召
dealing with,応接
lounge suite,応接セット
parlour,応接間
reception office,応接室
accepting a challenge,応戦
serving,応待
compliance,応諾
response,応答
competence,応答能
reasonable,応分
enlistment,応募
applicant,応募者
retribution,応報
applied (e.g. physics, linguistics, research),応用
applied physics,応用物理学
exercises,応用問題
practical skills,応用力
tension,応力
to suppress,押さえこむ
to strongly ...,圧し
to keep pushing to the end,押し捲くる
push-button,押釦
to push open,押しあける
to pile in,押掛ける
uninvited guest,押掛け客
to push aside,押しよせる
to be jammed tight,押し詰る
to drive to wall,押詰める
to press together,押しかためる
to aggrandise,押広める
crowding,押合い
to haggle,押しあう
to burglarize,押しこむ
to press and cut,押しきる
to brush aside,押し退ける
to carry through,押しとおす
to force one's way through,押しとおる
to flatten,圧しつぶす
to push (and hold) someone down (esp. with sexual connotations),押したおす
to push (something) against,押しあてる
to intrude,押しいる
to break through,押し破る
to impose (one's will),押付ける
to push aside,押分ける
almost all,押し並べて
to jostle,押しかえす
to keep silent,おし黙る
to push back,押しもどす
verbal tug-of-war,押問答
pressed leaves,押し葉
to shove,推し立てる
to wash away,押しながす
(of light) to be diffused across an entire surface,捺す
putting one's seal (on),押印
rhyming,押韻
forcing down,押下
confiscation,押収
pressing and cutting,押切
affixing a seal,押なつ
understood!,押忍
brimming with,旺盛
unconnected,横
to wear (a sword, etc.) at one's side,横たえる
to lie in wait,横たわる
flank,横っ腹
side of face,横っ面
inundation,横溢
sidestroke (swimming),横泳ぎ
lying on one's side,横臥
diaphragm,横膈膜
outline (of someone's life),横顔
arguing persistently,横議
lateral stripes,横筋
tunnel tomb (Kofun period),横穴
landscape orientation,横向き
to turn sideways,横向く
being very enthusiastic about something but not being good at it,横好き
cream of the crop,横綱
being prevalent,横行
driving rain,横降り
flank,横合い
abscissa,横座標
dog's death,横死
horizontal scroll,横軸
lateral stripes,横縞
side wheel throw (judo),横車
usurpation,横取り
horizontal writing,横書
to traverse,横ぎる
horizontal line,横線
line,横隊
embezzlement,横奪
cutting horizontally,横断
crosswalk,横断歩道
brazenly dishonest,横着
landscape orientation,横長
transverse flute (e.g. a fife),横笛
barrel roll,横転
digression,横道
beam sea,横波
mooring,横づけ
width,横幅
flank,横腹
horizontal (Western) writing,横文
Western language,横文字
insolent,押柄
herd instincts,横並び現象
carrying (child) under arm,横抱き
despotism,横暴
side of face,横面
rail,横木
short grain (paper),横目
unreasonable,横様
selling through illegal channels,横流し
flowing into the black market,横流れ
usurpation,横領
illicit love,横恋慕
Europe and Asia,欧亜
Westernisation,欧化
Latin script,欧字
Europe,欧洲
European Commission (executive of the EU),欧州委員会
EC,欧州共同体
European countries,欧州諸国
ECU,欧州通貨単位
EU,欧州連合
Occidental,欧風
Roman letters,欧文
European and (North) American countries,欧米諸国
European Russia,欧露
fist fight,殴り合い
to exchange blows,殴りあう
assault,擲り込み
to beat to death,殴りころす
to knock out,殴りたおす
to beat (someone in battle),殴りつける
to punch,撲る
striking dead,殴殺
blow,殴打
the crown,王位
assimilation of new territory,王化
royal family,王家
bottle cap,王冠
royal palace,王宮
authority of the king,王権
monarchy,王国
championship,王座
subordinate Kumano shrine,王子
imperial army,王師
royal cause,王事
royal family,王室
champion,王者
check,王手
king (of the senior player),王將
imperial castle,王城
aqua regia,王水
monarchical system,王制
imperial rule,王政
royalty,王族
dynasty,王朝
royal or imperial domain,王土
royal descendants,王統
tried-and-true method,王道
empress,王妃
royalty,王物
royal decree,王法
king,王さま
royal,王立
fusuma,襖
woman with a beautiful voice,鴬
greenish brown,鴬色
seagull,鷗
yellow,黄
yellow tint,黄ばみ
to yellow (with age),黄ばむ
chrome yellow,黄鉛
Yellow river (in China),黄河
harm caused by dumping human waste from train toilets onto the track,黄禍
rapeseed flowers,黄花
Yellow Sea,黄海
yellowish brown,黄褐色
yellow chrysanthemum,黄菊
cash,黄金
legendary land of wealth,黄金国
golden age,黄金時代
alchemy,黄金術
honey-colour,黄金色
mammon worship,黄金崇拝
utopia,黄金世界
the almighty dollar,黄金万能
The Golden Rule ("do unto others as you would have them do unto you"),黄金律
golden ratio (approx. 1.6180339887),黄金率
bluish yellow,黄枯茶
youthfulness and lack of experience,黄口
immature youth,黄口児
desert,黄沙
ripening and turning yellow,黄熟
spring of yellow buds,黄梢
yellow iris,黄菖蒲
shrill,黄いろい
shrill voice,黄色い声
Mongoloid race,黄色人種
egg yolk,黄身
dust (in air),黄塵
yellow quartz,黄水晶
jonquil (Narcissus jonquilla),黄水仙
tree sparrow (Passer montanus),黄雀
underworld,黄泉
corpus luteum,黄体
progestin,黄体ホルモン
yellowback sea bream (Dentex tumifrons),黄鯛
black-naped oriole (Oriolus chinensis),黄鳥
pyrite,黄鉄鉱
world of the dead,黄土
yellow peach,黄桃
zodiacal light,黄道光
twelve signs of the zodiac,黄道十二宮
brassy yellow,黄道色
zodiac,黄道帯
plane of the ecliptic,黄道面
corruption,黄白
pale yellow,黄白色
yellowfin tuna (Thunnus albacares),黄肌
yellow spot,黄斑
illustrated storybook with yellow covers (Edo period),黄表紙
young and inexperienced person,黄吻
roasted soy flour,黄な粉
beryl,黄碧玉
spoilt rice,黄変米
cream-colored,黄味がかった
Japanese boxwood,柘植
yellow-green,黄緑
pea green,黄緑色
yellow phosphorus,黄りん
icterus,黄疸
Okayama Prefecture (Chūgoku area),岡山県
wooden carrying box,岡持ち
envy,傍焼き
red-light district,岡場所
looking on by an outsider,傍目
Okinawa,澳
alluvial,沖積
alluvial period,沖積期
alluvial epoch (i.e. the Holocene epoch),沖積世
alluvial stratum,沖積層
alluvial soil,沖積土
stevedore,沖仲仕
rising into the heavens,沖天
Okinawa (city, prefecture),沖縄
Okinawa Prefecture,沖縄県
Amur silvergrass (Miscanthus sacchariflorus),荻
hundred million,億
luxury apartment,億ション
annoying,億劫
masses,億兆
very rich person,億万長者
outside,屋外
stage name (e.g. of actor),家号
roof,家根
rooftop,屋上
house (esp. a small and miserable house),家台
indoor (court, pool, etc.),屋内
conjecture,臆説
something one always remembers,臆念
easily frightened,おく病
shy face,臆面
unabashed,臆面もない
unabashedly,臆面もなく
tub,桶
steer,雄牛
the Bull,おうし座
wild boar (meat),牡丹
botamochi,牡丹餅
ram (sheep),雄羊
the Ram,おひつじ座
oyster shell,硴
goodnight,乙
second sign of the Chinese calendar,乙
spicy taste,乙な味
last child,乙子
second-class cruiser,乙巡
the Virgin,おとめ座
maiden's mind,少女心
wholesale dealer,卸し商
wholesaler,卸問屋
to cut up fish,卸す
wholesale alcohol trade,卸酒販
wholesale price,卸相場
WPI,卸売物価指数
debt of gratitude,恩
to be in one's debt,恩が有る
to return a favour with spite (favor),恩をあだで返す
love,恩愛
a lord giving a land holding to a vassal,恩給
benefit,恩恵
patronage,恩顧
one's former teacher,恩師
Imperial gift,恩賜
pardon,恩赦
borrowing,恩借
love and hate,恩讎
reward,恩賞
affection,恩情
patron,恩人
benefit,恩沢
ungrateful,恩知らず
favor,恩ちょう
special privilege,恩典
repayment (of an obligation, kindness, etc.),恩返し
gracious command or words,恩命
stupid,微温い
warmth,温み
to become tepid,温む
warmth,温もり
affable,温雅
warm sea,温海
kindly face,温顔
moxa cautery,温灸
mild-mannered,温厚
glasshouse,温室
tame,温順
breeding ground,温床
kindliness,温情
angry countenance,温色
warm water,温水
hot spring spa,温泉
keeping,温存
temperate zone,温帯
temperate,温暖
greenhouse effect,温暖化現象
hot point,温点
temperature,温度
thermometer,温度計
hot spring,温湯
heat,温熱
thermal,温熱性
kindly face,温容
warm bath,温浴
amiable,温良
amicable,穏やか
(politically) moderate,穏健
appropriate,穏当
simply,穏便
to make a sound,音をたてる
compass,音域
initial and final (in Chinese syllable structure),音韻
phonology,音韻学
time value,音価
scale,音階
music,音楽
aptitude for music,音楽の素質
recital,音樂會
music history,音楽史
music college,音楽大学
sense of pitch,音感
audio,音響
acoustic coupler,音響カプラー
musical performance,音曲
kanji readings,音訓
tone generator,音源
tuning fork,音さ
contact,音さた
phonetic symbol,音字
sound quality,音質
tidings,音信
sound (e.g. of a TV),音声
voice compression,音声圧縮
phonetics,音声学
syllable,音節
organ stop,音栓
phoneme,音素
stereo image (audio),音像
speed of sound,音速
harmony,音調
key,音程
leader of a group of wind instruments (in gagaku),音頭
reading (a kanji) by its Chinese-derived pronunciation,音読
on'yomi,音読み
sound wave,音波
gramophone record,音盤
phonetic symbols,音標文字
part of a kanji for which the role is primarily to represent the pronunciation (as opposed to the meaning),音符
notation,音譜
clef,音部記号
euphonic change,音便
letter notation,音名
reading aloud (for people with impaired vision),音訳
voice and countenance,音容
musical temperament,音律
volume (sound),音量
strength of the voice,音力
preparatory,下
drooping pine,下がり松
to go south,下る
to keep on playing after one has formed a scoring combination with captured cards,下げる
label,下げ札
plumb bob,下げ振り
bearish market,下げ相場
downturn (in the market),下げ足
ebb tide,下げ潮
to release (a criminal),下げわたす
hair (hanging down the back),下げ髪
drop curtain,下げ幕
wing flap,下げ翼
please (do for me),下さい
to favor,下さる
purgation,下し
grated daikon,卸し大根
evacuant,下し薬
to do to the end without stopping,降す
humble,下っぱ
under parts,下っ腹
last part of a poem or Bible verse,下の句
silly,下らない
downhill,下り
(going) downhill,下り坂
going up and down,下り上り
afterbirth,下りもの
downward tendency,下り目
to get down,降立つ
train heading toward the ending point of its route,下り列車
to be humble,降る
new tools (or clothes, etc.),卸
an abortive,下ろし薬
lower order (e.g. byte),下位
backward compatibility,下位互換性
the feelings of the people,下意
lower legislative chamber,下院
lower house (of Parliament, etc.),下院議
member of the lower house,下院議員
Speaker of the House (US, etc.),下院議長
to decline (stock market),下押す
daimyo villa,下屋敷
lean-to,下屋
declining,下火
to go out of fashion,下火になる
underside (of a car),下廻り
to be just under,下廻る
this world (as opposed to heaven),下界
cartoon,下絵
mandible,下あご
to talk about indecent things,下がかる
weeding,下刈り
last volume,下巻
second half of the (fiscal) year,下期
the following,下記
lower limbs,下脚
junior (officer),下級
subordinate post,下級職
lower court,下級審
underclassman,下級生
preliminary conference,下協議
old metal,下金
last part of a poem or Bible verse,下句
preparation,下稽古
prepared hole,下穴
bloody bowel discharge,下血
preliminary inspection,下検査
preliminary examination,下検分
weatherboard,下見
weatherboard,下見板
(moon's) last quarter,下弦
waning moon,下弦の月
infimum,下限
someone who cannot drink,下戸
dismounting,下御
coming down from a high place to a low place,下向
downward trend,下向き
coming home from school,下校
descending,下行
subsidence,下降
downward curve,下降線
leaving for the provinces,下国
being sent to prison,下獄
lower seat,下座
seat at bottom of the table,下座
evacuant,下剤
waning,下坂
proceeding from Tokyo to Osaka,下阪
poor plan,下策
descent,下山
subcontract,下仕事
to conduct oneself in an unseemly manner,下司ばる
last quarter (of the year),下四半期
noncommissioned officer,下士
petty officer,下士官
enlisted man,下士官兵
shuttle,下糸入れ
legs,下肢
giving something to someone of low social standing (by a person of very high social standing),下賜
lower teeth,下歯
getting out (of a car),下車
part exchange,下取り
underarm grip on opponent's belt,下手
stage right (actor's POV),下手
untactful,下手
loving something but being very bad at it,へたの横好き
criminal,下手人
underarm throw,下手投げ
strange combination,下手物
shitty,下手糞
mean feelings,下種根性
woman of low rank,下種女
(stock market) steadiness,下渋り
lodgings,下宿
lodging house,下宿屋
roomer,下宿人
board-and-room charge,下宿料
21st to the last day of a month,下旬
spade work,下準備
sword knot,下げ緒
rough copy,下書
rough copy,下書き
maidservant,下女
servants,下女下男
kitchen maid,下女中
prohibition against entering the grounds of a temple or shrine on horseback,下乗
withdrawing from the castle,下城
condition of the common people,下情
subcontractor,下職
kanji "heart" radical at bottom,下心
low-rank retainer,下臣
menial,下人
the lower chart (diagram, illustration, etc.),下図
rough sketch,下図
hanging down,下垂
black water,下水
sewer pipe,下水管
canal,下水溝
drain,下水道
wooden sewer covers,下水板
common parlance,下世話
person of humble birth,下姓
undergrowth,下生え
subcontractor,下請け業者
subcontracting company,下請会社
subcontract,下請負
nether millstone,下石
obscurity,下積み
underscore,下線
underlined part,下線部
going ashore,下船
low-rank priest,下僧
lower strata (classes),下層
lower classes,下層階級
lower ranks of society,下層社会
subsoil,下層土
arrangements,下相談
weeds beneath a tree,下草
underside,下側
footgear,下足
doorman in charge of footwear,下足番
footwear-checking charge,下足料
upside-down character,下駄
to leave everything to (someone),下駄を預ける
geta shop,下駄屋
wearing wooden clogs,下駄掛け
clog repairer,下駄直し
cupboard (for shoes and clogs),げた箱
footwear doorman,下駄番
floatplane,下駄履き
waist cloth,下帯
servants' kitchen,下台所
commanding a subordinate,下達
bottom edge,下端
manservant,下男
lowest price,下値
soy sauce,下地
lingerie,下着
Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds),下町
downtown style,下町風
swelling toward the bottom,下脹れ
studying ahead,下調べ
barber's apprentice,下剃り
leaving the palace,下殿
worn-out rice land,下田
first coating,下塗り
lower bath,下湯
lower class,下等
lower plants,下等植物
lower animals,下等動物
houseboy,下働き
road shadowed by trees, mountain, etc.,下道
rehearsal (of a play),下読
training,下馴し
being lowered (of a fever),下熱
dismounting,下馬
dismounting place,下馬先
hearsay,下馬評
lower half,下半
going off duty,下番
crudeness,下卑
to coarsen,下卑る
night soil,下肥
belt,下紐
diagram below,下表
(see the) following table or tables,下表参照
crude,下品
issue,下付
subsidy,下付金
pattern,下敷
good and faithful servant,下部
subordinate offices or institutions,下部機関
lower position,下風
under parts,下腹
loose bowels,瀉腹
abdomen,下腹部
side dish (to have with a drink),下物
inquiring beforehand,下聞
inquiring beforehand,下聞き
movements for sending young people to the countryside in China (1937, 1957, 1968),下放
(stock market) slump,下っ放れ
region below,下方
below,下方に
temporary sewing,下縫い
manservant,下僕
undersigned,下名
command,下命
contemptuous look,下目
consultation,下問
losing power,下野
subordinate official,下役
laxative,下薬
common people,下様
slump,下落
lower official,下吏
outdoor shoes,下履
diarrhoea,下痢
remaining text omitted (in quotation),下略
lower classes,下流
lower classes,下流社会
petty officials,下僚
low,下劣
dew under (dripping from) trees,下露
menial,下郎
servant girl,下婢
pre-cooking,下拵え
chancre,下疳
getting a bird's-eye view,下瞰
lower eyelid,下瞼
shoots,下萠
sheep's clothing,化の皮
to unmask (someone's true nature),化けの皮をはぐ
to improve unexpectedly and dramatically (esp. of an actor, artist, rikishi, etc.),化ける
parity check (data, memory, etc.),化けチェック
to improve (someone),化する
evolution,化育
chemistry,化学
chemical symbols (for the elements),化学記号
chemisorb,化学吸着
chemical engineering,化学工学
chemical industry,化学工業
chemical agent,化学剤
chemical test,化学試験
chemical formula,化学式
chemist,化学者
from the chemical point of view,化学上
chemical,化学製品
chemical warfare,化学戦
actinic rays,化学線
chemical fibre,化学繊維
chemical,化学的
generation of an unexpected result from combining things,化学反応
chemical fertiliser,化学肥料
chemicals,化学品
chemical weapon,化学兵器
chemical weapons ban treaty,化学兵器禁止条約
chemical change,化学変化
chemotherapy,化学療法
chemical combination,化合
compound,化合物
ossification,化骨
make-up base,化粧下
powder room,化粧室
toilet soap,化粧石鹼
cosmetics expense,化粧代
dresser,化粧台
dressing gown,化粧着
veneer,化粧張り
dressing room,化粧殿
makeup kit,化粧道具
cosmetics case,化粧箱
toilet articles,化粧品
dressing room,化粧部屋
dowry (Edo period),化粧料
facing bricks,化粧煉瓦
avatar,化身
transformation,化成
chemical industry,化成工業
chemical fertiliser,化成肥料
metamorphosis,化生
monster,化生
fossilisation,化石
paleontology,化石学
fossil bed,化石層
fossil fuel,化石燃料
chemical fibre,化纎
coming to head,化膿
pus-producing bacteria,化膿菌
something without substance,仮
theoretical,仮り
for the time being,仮に
even in the slightest sense,仮にも
this transient world,仮の宿り
this transient world,仮の世
this transient life,仮の命
temporary residence or shelter,仮屋
temporary house,仮家
suspense account,仮勘定
suspense account,仮記入
acting president,仮議長
temporary shrine,仮宮
makeshift bridge,仮橋
temporary residence,仮寓
conditional approval,仮決
hypothesis,仮言
provisional garnishment,仮差押
proof printing,仮刷り
suspended animation,仮死
false tooth,仮歯
varnish,仮漆
borrowing a kanji with the same pronunciation to write a similar-sounding word,仮借
conditional release,仮釈放
money temporarily receipted,仮受け金
temporary receipt,仮受取
temporary receipt,仮受取証
release on bail,仮出獄
parole,仮出所
temporary injunction,仮処分
slight,苟且
shed,仮小屋
provisional name,仮称
provisional treaty,仮条約
temporary planting,仮植
temporary planting,仮植え
stopping at an inn,仮寝
temporarily assumed parents,仮親
conditional promotion,仮進級
coefficient,仮数
significand,仮数部
false (symptoms),仮性
pseudomyopia,仮性近視
provisional government,仮政府
falsetto,仮声
potential (enemy),仮想
virtual storage,仮想記憶
virtual space (e.g. in computer graphics),仮想空間
phenomenon,仮相
temporary burial,仮葬
converted (cruiser),仮装
auxiliary cruiser,仮装巡洋艦
masquerade ball,仮装舞踏会
temporary dwelling,仮宅
pretence,仮託
initialling (pact),仮調印
temporary (paper) binding,仮綴じ
brochure,仮とじ本
supposition,仮定
provisional articles,仮定款
conditional form,仮定形
subjunctive mood,仮定法
temporary pasting,仮貼り
temporary shrine (houses the object in which the deity resides when main shrine is under repairs),権殿
temporary approximate payment,仮渡し
varioloid,仮痘
provisional enrolment,仮入学
deposit,仮納
deposit,仮納金
tax payment under protest,仮納税
emergency anchoring,仮泊
feigned illness,仮病
temporary building,仮普請
temporary roofing,仮葺き
temporary advance (of money),仮払い
improper fraction,仮分数
basting,仮縫い
temporary burial,仮埋め
temporary burial,仮埋葬
nap,仮枕
kana-kanji conversion (on a computer, etc.),かな漢字変換
syllabary spelling,仮名使い
mixed writing (kanji and kana),かな交じり
mixed writing (kanji and kana),かな交じり文
Japanese kana copybook,仮名手本
something written in kana,かな書き
using more kana than characters,仮名勝ち
letter composed entirely of kana,仮名文
the Japanese syllabary symbols,仮名文字
book written entirely in kana,仮名本
temporary licence,仮免許
temporary certificate,仮免状
mask,仮面
masquerade ball,仮面舞踏会
temporary post,仮役
temporary building,仮拵え
first-aid dressing,仮繃帯
what (do you mean)?,何か
whenever there is a chance,何彼につけて
one thing or another,何か彼にか
casually,何か無しに
heads or tails,何が何だか
by all costs,何が何でも
for you see,何しろ
what (something) is like,何たる
somehow,何だか
this or that,何だ彼だ
what's that?,何て
by all means,何でも彼んでも
general store,なんでも屋
not at all,何でも無い
so, ...,何と
one way or another,何とか
somehow,何とか彼とか
somehow or other,なんとは無しに
of what name,何と言う
whatever,何なり
innocently,なんの気なしに
certain amount,何のなにがし
(not) to that extent,何も
for some reason,何やら
one thing or another,何やらかにやら
and the rest,何や彼や
most important,何より
anyway,孰れにしても
anyway,何れにせよ
in all cases,何れの場合においても
another time,何れまた
none (with neg. verb),何れも
what the hell are you saying?,何を言うてんねん
(not) one,何ひとつ
c'mon,何れ何れ
how many months,何箇月
how many times,何回
a number of times,何回も
many periods,何期も
innocently,何気無く
(not) a bit,何とも
what month,何月
the reason why is,何故かと言うと
in various ways,何呉
what age,何才
what's this ... all about?,何ごと
peacefully,何ごとも無く
ordinary days,何時
what time,何時
in time,何時か
how long,何時から
unawares,何時しか
once,何時ぞや
uncharacteristic,何時にない
unawares,何時の間にか
unnoticed,何時の間にやら
till when?,何時迄
no matter what,何時迄も
customary,何時も
as usual,何時もの通りに
when,何時何時
at what moment,いつなん時
for a long time,何時何時迄も
how many hours,何時間
how soon,何時ごろ
what kind of person,何もの
someone,何ものか
in some way,何処か
somehow,何処とも無く
vaguely,何処と無く
nothing,何処も
to what extent,何処迄
exhaustively,何処迄も
there is no way,何じょう
multicoloured printing,何色搨
air of innocence,なに食わぬ顔
without any special thought,何心なく
a number of people,何人
to give,何千
without fail,何とぞ
how many points,何点
how many degrees (temperature, angle, etc.),何度
once or twice,何度か
any number of times,何度でも
time after time,何度も
who,何奴
what kind of,何等
how many days,何日
what year,何年
what number,何番
rank?,何番め
in various ways,何彼と
hundreds,何百
nothing (with neg. verb),何もの
after all,何ぶん
how many minutes,何分
how often,何べん
many times,何べんも
who,孰方
who,何方
what day of the week?,何曜日
to be sure,何さま
on what business,何用で
entertainer,伽
pantomime,伽芝居
fairy-tale book,伽草子
aloes-wood incense,伽羅
temple building,伽藍
pelican,伽藍鳥
cost,価格
price pressure,価格圧力
price regulation,価格規制
price competition,価格競争
price margin,価格差
cost effectiveness,価格性能
price war,価格戦争
price range,価格帯
price list,価格表
amount,価額
merit,価値
value system,価値観
valuable,価値高い
worth doing,価値有る
valence electron,価電子
valence state,価電子状態
valence band,価電子帯
excellent,佳
congratulatory banquet,佳宴
pleasant guest,佳客
beautiful place,佳境
beautiful passage of literature,佳句
beautiful view,佳景
bright moon,佳月
wise saying,嘉言
good-eating fish,嘉肴
honourable mention (honorable),佳作
good impression,佳趣
good drink,佳酒
excellent poem,佳什
good wine,佳醸
beautiful woman,佳人
beauty and luck seldom go together,佳人薄命
good tune,佳調
beautiful day,嘉日
masterpiece,佳品
interesting guest,佳賓
delicious taste,佳味
beautiful trees,嘉木
comely face,佳容
successful,佳良
good example,佳例
beauty,佳麗
heartwarming story,佳話
Canada,加
furthermore,加うるに
to give,加える
addition,加え算
to be exerted,加わる
increasing pressure,加圧
PWR,加圧水炉
heat,加温
damaging (someone),加害
aggressor,加害者
person in charge of crowning the boy at a coming-of-age ceremony,加冠
sadism,加虐
sadism,加虐愛
raising salaries,加給
just right for ...,加減
the four arithmetical operations (addition, subtraction, multiplication, division),加減乗除
adjustable resistor,加減抵抗器
divine protection,加護
machining,加工
processing industries,加工業
manufacturing industry,加工産業
coated paper,加工紙
dental bridge,加工歯
processing tax,加工税
processing fees,加工賃
processing cost,加工費
finished goods,加工品
processing trade,加工貿易
sign of addition,加号
supplement,加算
adding machine,加算機
caring for one's health,加餐
adhisthana (blessing of a buddha or bodhisattva),加持
humidification,加湿
humidifier,加湿機
insertion and deletion,加除
looseleaf,加除式
excitation,加振
dilution with water,加水
hydrolysis,加水分解
addend,加数
reinforcements,加勢
addition,加増
speeding up,加速
accelerated motion,加速運動
acceleration,加速度
accomplice,加担者
sweetened,加糖
sweetened powdered milk,加糖粉乳
taking out (insurance),加入
admission fee,加入金
NTT permission-to-procure-a-phone-line,加入権
(telephone) subscriber,加入者
application of heat,加熱
adding years,加年
cannon (esp. high-velocity artillery),加農砲
additional ration,加配
extra rice ration,加配米
affixing a seal,加判
signatory,加判人
touching up,加筆
extra allowance,加俸
addition,加法
taking into account,加味
accession,加盟
signatory,加盟国
member,加盟者
franchise store,加盟店
temporary extra work,加役
meat, fish, vegetables, etc. added to rice or udon (e.g. to make gomoku meshi),加薬
taking care of oneself,加養
potassium carbonate,加里
vulcanizing (rubber),加硫
vulcanisation,加硫法
medical treatment,加療
adding to one's years,加齢
increase in a samurai's stipend,加禄
D,可
cannot,可からず
to train harshly,可愛がる
sweet,可愛らしい
compressibility,可圧性
commutative group,可換群
invertible,可逆
reversible reaction,可逆反応
as ... as possible,可及的
passage,可決
visibility,可視
making something visible (that was previously unseen),可視化
visible ray,可視光線
suspicious,奇怪しい
plastic,可塑
plasticiser,可塑剤
plasticity,可塑性
plastics,可塑物
plastics,可塑物質
malleability,可鍛性
malleable iron,可鍛鉄
audible,可聴
audible distance,可聴距離
audibility,可聴度
moveable,可動
river gates,可動堰
movable bridge,可動橋
mobility,可動性
readable,可読
legibility,可読性
burnable,可燃
inflammable,可燃性
burnables,可燃物
feasible,可能
if possible,可能であれば
availability,可能性
very probable,可能性が高い
available choice,可能選択
potential verb,可能動詞
potential mood,可能法
ayes and noes,可否
separable,可分
divisibility,可分性
controllable,可変
variable number,可変数
versatile,可変性
variable length,可変長
potentiometer,可変抵抗器
solubilising,可溶
solubility,可溶性
in service,可用
availability,可用性
pitiable,可憐
flexible,可撓
fusibility,可鎔性
praise,佳賞
happy precedent,嘉例
summer,夏
summer clothes,夏衣
summer haori (coat),夏羽織
keeping over the summer,夏越し
summer-use futon,夏掛け
summer school,夏期学校
college summer school,夏期大学
summer vacation,夏季休暇
early chrysanthemums,夏菊
summer holiday,夏休み
summer slump,夏枯れ
mountain that is often climbed in summer,夏山
summer silkworms,夏蚕
summer solstice,夏至
Tropic of Cancer,夏至線
summer solstitial point,夏至点
summer time,夏時間
summer time,夏時刻
summer season,夏場
Summer Tournament (held in Tokyo in May),夏場所
summer cicadas,夏蝉
before summer,夏前に
summer daikon,夏大根
summer clothes,夏着
summer insects,夏虫
summer day,夏日
suffering from summer heat,夏負け
summer clothing,夏服
summer goods,夏物
straw hat,夏帽子
bitter summer orange (mandarin),夏みかん
estivation,夏眠
grove in summer,夏木立
summer fields,夏野
useless things,夏炉冬扇
(one's) daughter-in-law,媳
to have sexual intercourse,嫁ぐ
Aster yomena (Asiatic species of aster),嫁菜
taking a wife,嫁取り
wedding,娵入り
family name,家
one's household,家
family,家
fortunes of a family,家運
building,家屋
family status,家格
hereditary learning,家学
domestic duck,鶩
tutor,家教
one's old home,家郷
one's trade,家業
fowls,家禽
family line,家筋
furniture,家具
furniture dealer,家具屋
(my) elder brother,家兄
family lineage,家系
family finances,家計
household account book,家計簿
family constitution,家憲
head family of a school,家元
family assets,家財
built house,家作
family property,家産
household matters,家事
head of the household,家主
collected waka poems (of a single poet),家集
fixtures,家什
attendant,家従
entering the priesthood,家出
