ditto,同断
proprietor of a theatrical company,座長
coordinate,座標系
coordinate system,座標系
coordinate axis,座標軸
coordinate transformation,座標変換
zabuton,坐蒲団
tatami,坐敷
maiko,坐敷
attends,坐敷
dinner party in a tatami room (esp. when a geisha or maiko attends),坐敷
suppository,坐薬
crush,挫く
to crush,取拉ぐ
to be broken,挫ける
discouragement,挫折
debenture,債券
creditor,債主
contractual,債務
obligation to a person or party (usu. legal or contractual),債務
debtor,債務者
holding (a meeting),催し
attractions,催物
to show signs of,催す
aphrodisiac,ほれ薬
to share,分け取る
requesting,指名
letter requesting money, etc.
hypnosis,催眠
soporific,催眠剤
hypnotism,催眠術
sleeping medicine,催眠薬
tear gas,催涙ガス
tear-gas,催涙銃
tear-gas gun,催涙銃
tear-gas bomb,催涙弾
deuter-,再
a second time,二度
reassume,再び取る
to reassume,再び取る
restate,再び述べる
to restate,再び述べる
reintroduction,再び導入
revised draft,再案
recapitulation,反覆
second marriage,再縁
remarriage,転嫁
reunion,再会
restarting,再開
revalidation,再確認
rediscount,再割引
resumption of publication,再刊
reinfection,再感染
reflexivity,再帰
reflexive,再帰代名詞
reflexive pronoun,再帰代名詞
recurrent,再帰熱
recurrent fever,回帰熱
rally,集会
reboot,再起動
redeliberation,再議
second attempt,再挙
repeated,壮ん
repeated discussion,再協議
in-service,再教育
in-service training,再教育
reappointment,復職
reprohibition,再禁止
rearmament,再武装
protoform,再建
reconstruction,再構築
protoform reconstruction,再建
(temple or shrine) rebuilding,再建
retest,再検査
reappraisal,再検討
regrant,再交付
second revision,再校
reconfiguration,再構成
reconsideration,再思
Second,再降臨
Advent,再降臨
Second Advent,再降臨
renotification,再告
re-examination,再尋問
trying,試食
trying again,再試行
make-up game,再試合
rebaptism,再受浸
immersion,はめ込み
rebaptism by immersion,再浸礼
cousin,再従兄
elder second cousin,再従兄
younger second cousin,再従弟
re-emergence,再出
fresh start,再発足
recycle,再循環
reprocessing,再処理
another victory,再勝
reexamination,再審
punitive,再征
expedition,探険
second punitive expedition,再征
reproduction,複刻
reclaimed,再生品
reclaimed goods,再生品
recycling,廃物利用
reconditioning,再製
reprocessed,再製品
reprocessed goods,再製品
repeated explanation,再説
rematch,再戦
anabaptism,再洗礼
recall election,再選挙
re-creation,再創造
re-transmission,再送
resurvey,再測量
resurrection,甦
resurrection (of a company or school, etc.)
repeat order,再注
reorder,再注文
reinvestigation,再調
realignment,再調整
redefining,再定義
proposing,再提案
proposing again,再提案
second revised edition,再訂版
turning around,再転
double check,再度確認
renegotiation,再度協議
revised submission,再投稿
reinvest,再投資
revoting,再投票
pronunciations,再読
reading a single kanji twice (with different pronunciations) in kanbun,再読
readmission,再入学
readmission to a school,再入学
re-entry,再入国
re-entry (into a country),再入国
(immigration) re-entry permit,再入国許可
re-entry permit,再入国許可書
second defeat,再敗
relocation,再配置
redistribution,再配布
recurrence,再発
reissue,再発行
second edition,再版
second offence,再犯
offender,罪人
second offender,再犯者
resale,転売
reseller,再販業者
revaluation,切りあげ
resurfacing,再浮上
refreeze,再封鎖
second imprisonment,再服役
second calamity,再変
reinsurance,再保険
rerun,再放送
re-exportation,再輸出
reimportation,再輸入
revisit,再遊
reincarnation,輪廻
month after next,さ来月
week after next,来来週
year after next,明後年
advent,来臨
second advent,再臨
Adventists,再臨派
rerecording,再録
dearest,最愛
worst,最悪
if worst comes to worst,最悪
outer-most,最外
closest,最近
one's end,死期
strongest,最強
most favoured nation status,最恵国待遇
earliest,最古
the earliest,最古
moments,最後
one's final moments,最後
Last,最後の晩餐
Supper,最後の晩餐
the Last Supper,最後の晩餐
to the last,最後まで
last train,最後列車
top secret,秘中の秘
CEO,最高経営責任者
Supreme Court,最高裁判所
CFO,最高財務責任者
ultimate leader,最高指導者
apex,尖部
left-most,最左
last train (bus, flight
episode,最終回
final episode (of a television program),最終回
final stage,終盤
final form,最終編成
ultimate goal,最終目的
onset,最初
minimisation,最小化
least-squares,最小自乗法
least-squares method,最小２乗法
min,最小値
youngest,最少
late-breaking,最新
late-breaking (news),最新
latest,最新式
latest style,最新式
best time,最盛期
spearhead,鋒先
forefront,急先鋒
not any more,最早
maximisation,最大化
greatest,最大値
greatest value,最大値
shortest,最短
at the very least,最低限
minimal blood pressure,最低血圧
minimum cost of living,最低生活費
wage,最低賃金
minimum wage,最低賃金
minimum wage system,最低賃金制
optimisation,最適化
abnormal,変態的
abnormal substance (i.e. air) circulating in the blood,塞栓
side (remark),具
man with wife and kids,妻子持ち
chancellor,宰相
flair,色取る
to add flair,色取る
saturation,飽和状態
color saturation (colour),彩度
raising (money),才覚
talent and education,才学
wisdom,明達
great wisdom,大悟
wisdom and works,才芸
clever man,才子
talented woman,才媛
wit,洒落っ気
wit and beauty,才色
intelligence,諜報
(a woman) being gifted with both intelligence and beauty,才色兼備
clever person,才物
poetic talent,才藻
precocious,才走る
to be precocious,才走る
to be clever and forward,才弾ける
mallet,才槌
small wooden mallet,才槌
head like a hammer,才槌頭
intelligence and virtue,才徳
measured,才噸
ton,才噸
measured ton,才噸
clever style,才筆
less than ... years old,才未満
reputation for ability,才名
wise planning,才略
volume and weight,才量
collecting blood,採血
profitability,採算性
measurements,採寸
taking measurements,採寸
coal extraction,採炭
adoption or rejection,採否
copying down (a tune),採譜
drilling,穿孔
drilling for oil,採油
agricultural,栽培種
agricultural species,栽培種
-years-old,才
annual expenditure,歳出
receipts,歳入
budget receipts,歳入
annual income and expenditure,歳入歳出
paid,歳費
annual salary paid to Diet members,歳費
year end,節季
dismantlement,済し崩し
gradual dismantlement,済し崩し
to make do with (without),済ます
to let end,済ませる
it's,済みません
it's too much,済みません
to be sorry,濟む
woes,殃
to meet with misfortune,災難に遭う
to take command,采配を振る
to make easy to understand,摧く
smashed,砕け散る
to be smashed up,砕け散る
crushing (rock),砕石
breaker,砕氷船
ice breaker,砕氷船
to worship,崇める
enshrined,祭神
enshrined deity,祭神
festival day,祭日
(religious) festival,祭禮
meals,斎
exchanged,斎
parishioners,斎
priests,斎
meals exchanged by parishioners and priests,斎
enshrine,奉祀
to enshrine,斎く
shrine fence,斎み垣
purification,潔斎
purification and fast day,斎日
fence around a shrine,忌垣
unmarried,斎宮
Shrine,斎宮
unmarried imperial princess serving at the Ise Grand Shrine in place of the Emperor,斎宮
ceremonies,斎主
master of religious ceremonies,斎主
ceremony site,斎場
fast day,斎日
priestly, esp. white silk robes worn at festivals
vestments, esp. white silk robes worn at festivals
priestly vestments, esp. white silk robes worn at festivals
with particular attention,細細
very narrow,細細
stingy,狡い
to make narrow,細める
thick (e.g. fog),濃やか
meager,細やか
taper,細る
to taper off,先細る
germ,微生物
puncture,細孔
doctoring,細工
slim waist,細腰
filament,細糸
minor detail,細事
detailed explanation,詳説
flakes,ささめ雪
small snow flakes,ささめ雪
long and narrow,細長い
subdivision,小分け
subdivision (into small parts),細分
shred,断片
cell (in an organization, esp. a communist party)
cell nucleus,細胞核
cytology,細胞学
cytoplasm,細胞質
cellular membrane,細胞膜
finely,細密
finely detailed,細密
slender face,細面
specified,細目
specified items,細目
rivulet,細流
leaf,菜葉
leaf vegetable,菜葉
vegetable garden,菜園
coleseed,菜種
hulls,菜種殻
rapeseed hulls,菜種殻
canola,ナタネ油
canola oil,種油
vegetable diet,菜食
vegetarian,菜食主義者
judge,審判
verdict,論断
court of law,裁きの庭
to begin to cut,裁ちかける
to split,罅ぜる
scraps,裁ち屑
styling,裁ち上がり
tailor's,裁ち板
tailor's cutting board,裁ち板
cutting (cloth or paper),裁ち物
tailor's knife,裁ち庖丁
sew,裁ち縫う
to cut and sew,裁ち縫う
to cut (cloth),截つ
written verdict,裁決書
cutter,裁断師
(tailor's) cutter,裁断師
court fight,裁判ざた
courthouse,裁判所
presiding,裁判長
presiding judge,裁判長
needlework,裁縫
clothier,裁縫師
load line,載貨吃水線
deadweight,載貨屯数
tonnage,載貨屯数
deadweight tonnage,載貨屯数
loading,荷積み
coaling,載炭
moment of,際
juncture,際
to come to pass,際する
topical,際物
topical writing,際物
conspicuous,際だつ
to be conspicuous,際だつ
dose,用量
to find,在りつく
to come about,在る
being on the throne,在位
goods on hand,在庫品
being a student,在学
stationed,在韓米軍
US troops stationed in (South) Korean,在韓米軍
rural districts,在郷
inventory,登録簿
enrolled,在校生
enrolled student,在校生
one's residence,自邸
being in office,在任
being a member (of a team, organization
being in,在宅
telecommuting,在宅勤務
Zainichi,在日
Zainichi Korean,在日
USFJ,在日米軍
US Army,米陸軍
Japanese living in America,在米邦人
conventional,伝統的
extension of visa permit,在留期間更新許可
expatriates,在留邦人
Japanese expatriates,在留邦人
quality of lumber,材質
(market) factor,材料
lack of consideration,罪
guilt,罪悪感
feelings of guilt,罪悪感
(criminal) charge,罪状
wrongdoer,悪名
incorporated,財
incorporated foundation,財
business circles,財界
politics,財経
politics and economics,政経
financial situation,臺處
stability,坐り
fiscal stability,財政安定
fiscal reform,財政改革
financial crisis,金融恐慌
balanced,財政均衡計画
balanced budget plan,財政均衡計画
financial support,財政支援
fiscal balance,財政収支
difficulties,艱難辛苦
fiscal difficulties,財政難
collapse,総崩れ
economic collapse,財政破綻
financial problem,財政問題
economic strength,財政力
juridical foundation,財団法人
industrial group,財閥
wallet,財布
financial affairs,財務
financial transaction,財務トランザクション
financial constitution,財務体質
skillfulness,八挺
skilfulness,冴
skillfulness (skilfulness),冴
intensely,冱える
to become intensely cold,冱える
clearly,爽爽
to shine clearly,冴え輝く
to get cold gradually,冴え行く
complexion,冱え冱えした
healthy (complexion),冱え冱えとした
to freeze over,冱てる
to be cold and clear,冴返る
(age) mark,阪
hill road,坂道
Hanshin, dept. store
name:, dept. store
Hanshin (company name: railway, dept. store
Earthquake, 1995)
17, 1995)
Great Hanshin Earthquake (January 17, 1995)
planted,賢木
evergreen (esp. one planted or used at a shrine),賢木
liven,酒菜
conversation to liven up a party,酒菜
riotous,咲き溢れる
profusion,咲き溢れる
to bloom in riotous profusion,咲き溢れる
to come out,咲き出す
to bloom in profusion,咲乱れる
to rise up (of breaking waves),咲く
headland,﨑
Saitama,埼玉県
Saitama Prefecture (Kanto area),埼玉県
forced, etc.)
forced (smile, etc.)
made-up,作り顔
made-up face,作り顔
feigning,作り機嫌
feigning good feeling,作り機嫌
make-believe,作り泣き
make-believe crying,作り泣き
brewery,造酒屋
sake brewery,造酒屋
to create,造りだす
forced smile,作り笑い
cook,調理人
to cook up,造りあげる
sliced raw fish,作り身
unnatural,人工的
unnatural voice,作り声
to fail in making,作り損なう
to alter,作り換える
rebuild,作りなおす
to rebuild,作りなおす
remake,作り返す
to remake,塗替える
how to grow (something),作り方
blindness,失明
feigned blindness,作り盲
well-trimmed,作り木
well-trimmed tree,作り木
myth,作り話
feasance,作為
fatigue duty,作業
working group,作業グループ
work clothes,事務服
operational expense,作業費
task force,任務部隊
working draft,作業部会案
overalls,作業服
for manufacturing,作業用
occupational,作業療法
therapy,作業療法
occupational therapy,作業療法
working area,仕事場
writing music,作曲
lyrics,作詞
(writing) song lyrics,作詞
verse making,作詩
authorship,作者未詳
of unknown authorship,作者未詳
workshop,工場
implementation,履行
implementation technique,作成技術
naval operation,策戦
operation overlay,作戦オーバーレー
plan of campaign,作戦計画
area of operation,作戦地域
surface soil,作土
good crop,作当たり
work-file,作譜
log (i.e. work-file),作譜
literary work,述作
farm products,作物
formal writing with little real meaning,作文
quality (of art),作柄
way of making,作法
samue,作務衣
action integral,作用積分
illustrative,作例
illustrative sentence,作例
curtail,削
reduce,殺ぐ
to reduce,攻め落す
shavings,削りクズ
to scrape off,削りとる
flaked,削り節
bonito,削り節
flaked bonito,削り節
to plane off,削り落とす
to strike out,削る
to take a cut,砕る
striking out,削除
ice-shaving,削氷機
ice-shaving machine,氷削機
chip,削片
denudation,削摩
to press out,搾りとる
extracting,搾取
squeezing,搾取
extracting (a liquid) through squeezing,搾取
breast pumping,さく乳
oil expression (extraction),搾油
yesterday,昨日
the spring of last year,昨春
last night,昨夕
flick,策
right upward flick,策
resourceful person,策士
settling,策定
settling on,策定
artifice,策謀
index (in a book),索引
cable railway,索条鉄道
searching for the enemy,索敵
cable car,索道
desolate,淋しい
delusion,迷妄
angles,錯角
alternate interior angles,錯角
discrepancy between one's actions and intentions,錯誤
intricacy,錯雑
entangled,錯そう
to get entangled,錯そう
cherry fruit (esp. sweet cherry, Prunus avium)
blossom, color)
cherry blossom (colour, color)
horse meat,櫻
rice boiled with soy sauce and sake,桜飯
bamboo-leaf,笹舟
toy bamboo-leaf boat,笹舟
notebook,控え帳
rough draft,冊子
number of books,冊数
misprint,刷り違い
imprint,刷込む
subconscious,刷込む
to imprint (e.g. on one's subconscious),刷込む
to begin to print,刷り出す
to be off the press,刷り上がる
to print off,刷り上げる
to spoil in printing,刷り損なう
reprint,抜き刷
to reprint (book),刷りなおす
sheets,摺り本
printed sheets,摺り本
just off the press,刷り立て
to color or pattern fabric using a wooden mold,摺る
renovation,刷新
number (of books) printed,刷数
brush (for painting, basting
brush tip,はけ先
brush marks,はけ目
sympathise,察する
to sympathise with,察する
perceive,察知
to perceive,察知
retaken,撮り直し
a retaken photograph,撮り直し
retake,撮りなおす
to retake (a photograph),撮りなおす
shoot,新芽
to shoot,録る
(video) recording,録画
film studio,撮影所
film unit,撮影隊
compendium,提要
sidestep,摺り替える
to sidestep (an issue),摺り替える
to scratch,疵つける
abrade,擦剥ける
to abrade,磨り減らす
evade,擦抜ける
to evade,擦抜ける
to strike (a match),擦付ける
to scrape,錯る
hussy,擦れっ枯し
brazen hussy,擦れっ枯し
disagreement,行違い
to quarrel,遣りあう
paper money,札
posted,簡
pilgrims,簡
slip of paper posted on shrine pillars by pilgrims,簡
banknotes,札束
roll of banknotes,札束
murderer,人殺し
hit man,殺し屋
telling phrase,殺し文句
hock,殺す
to put in hock,殺す
murderous,殺人的
impulse,殺意
murderous impulse,殺意
determination to kill,殺気
disinfection,殺菌
bloodshed,血の雨
fungicide,殺真菌薬
manslaughter,殺人
homicidal,殺人鬼
maniac,殺人鬼
homicidal maniac,殺人鬼
attempted,殺人未遂
attempted murder,殺人未遂
brutal,刻薄
pests,殺虫
killing insects or pests,殺虫
pesticide,殺虫剤
deluge,殺到
Ipomoea,甘藷
batatas,甘藷
sweet potato (Ipomoea batatas),甘藷
Satsuma,薩摩焼
Satsuma porcelain,薩摩焼
miscellaneous,雑
irresponsible,雑音
irresponsible criticism,雑音
sundries,荒物
miscellaneous knowledge,雑学
impressions,雑感
miscellaneous impressions,雑感
notes,雑記
miscellaneous notes,雑記
exercise book,雑記帳
businesses, shops and residential apartments
building containing a mixture of businesses, shops and residential apartments
unimportant,雑喉
unimportant person,雑喉
dust cloth,雑布
saprophytic,雑菌
saprophytic bacteria,雑菌
foul,雑言
foul language,雑言
periodical,刊行物
miscellaneous matters,雑事
mongrel,雑種
gruel, fish
rice gruel containing vegetables, fish
higgledy-piggledy,雑然
weed,雑草
unorganized,雑多
worldly thoughts,雑念
patchy,雑ぱく
miscellaneous expenses,雑用
miscellany,雑文
literary miscellany,雑文
miscellaneous news,雑報
assorted,雑木
assorted trees,雑木
thicket,植込
odd job,雑役
satsuki,皐月
azalea,皐月
Rhododendron,皐月
satsuki azalea (Rhododendron indicum),皐月
server (esp. in an online game),鯖
hem,捌く
to arrange (e.g. the hem of a kimono),捌く
rusty,錆びる
to become rusty,錆びる
effective,錆つく
to become less effective,錆つく
anti-corrosive,さび止め
shark,鱷
108,盤
kanji radical 108 (at the bottom),盤
dish-washing,皿洗い
dishwashing,皿洗い機
dishwashing machine,皿洗い機
bleached,さらし木綿
bleached cotton cloth,さらし木綿
three years of age,３つ
three corners,三つ角
triplets,三つ子
folded,三つ折
folded in three,三つ折
set of three,三幅対
three-piece,三つぞろい
three-piece suit,三つぞろい
three-sided,三つどもえ
three-sided struggle,三つどもえ
three-stroke,三つ半
three-stroke alarm,三つ半
three-way,三叉
outlet,三叉
three-way (e.g. outlet),三叉
triple,三塁打
triple family crest,三つ紋
three aspects,三位一体
second lieutenant (JGSDF),３尉
education of the head and hand and heart,三育
famous,三羽がらす
retainers,人臣
three famous retainers,三羽がらす
three summer months,三夏
1-3,三箇日
first three days of the New Year (January 1-3),三箇日
three times,３回
distant ...,三界
third floor,三階
triangular shape,三角
triangle,３角形
eternal triangle,三角関係
trigonometric,三角函数
trigonometric function,三角函数
bandanna,三角布
sambuca,三角琴
deltoid,三角筋
deltoid (muscle),三角筋
anomaly,変則
triangle anomaly,三角系異常
triangular pyramid,三角錐
triangulation,三角測量
set square,三角定規
three-cornered,三角闘争
three-cornered fight,三角闘争
triangle wave,三角波
jib,三角帆
sail,帆
jib sail,三角帆
tricorne,三角帽
alternation of three cold and four warm days,三寒四温
daylight,三竿
broad daylight,白日
Korea,半島
the three Han nations (of ancient Korea),三韓
three legs,三脚
tripodal,三脚架
tripodal frame,三脚架
fanned,三球三振
fanned on three pitches,三球三振
tertiary,三級
licensed red-light quarters,三業地
trio,三曲
instrumental trio,三部合奏
whole army,総勢
hundreds column,三桁
third month of the lunar calendar,季春
three months,三月
Dolls',三月の節句
Dolls' Festival,雛祭
the three powers of government (legislative, executive and judicial)
separation of powers (legislative, executive and judicial)
trichromatic,三元色
forked,三股
forked stick,三股
showing special confidence and courtesy (to someone, often to convince them to take a post
11pm,三更
1am,三更
third watch of the night (approx. 11pm to 1am),三更
third proof,三校
third and final proof,三校終了
three-line,三行広告
three-line classified advertisement,三行広告
ads,三行広告欄
classified ads,三行広告欄
three and a half lines,三行半
divorce,離別
letter of divorce,三下り半
short-lived magazine,三号雑誌
unparalleled,三国一
unparalleled in Japan and China and India,三国一
triple alliance,三国同盟
major (JGSDF),３佐
three-way intersection,三差路
everything in the universe,三才
calamities:, flood and storm
the three calamities: fire, flood and storm
recruit,補充兵
JSDF,三士
recruit (former rank in the JSDF),三士
reflection,倒影
deep reflection,三思
outs,三死
three outs,三死
dharma,三時
three ages of the dharma,三時
IRL,三次元
IRL (in real life),三次元
three-cornered conversation,三者会談
three-cornered competition,三者対立
1-2-3,三者凡退
out in 1-2-3 order,凡退
girdle,三尺
cloth girdle,三尺
sharpened,三尺の秋水
sharpened sword,三尺の秋水
mere,三尺の童子
mere child,三尺の童子
three necessities,三種の神器
three years,三秋
longing,三秋の思い
longing for loved ones,三秋の思い
thirty,三十戸
thirty houses,三十戸
thirty-three,三十三所
Kannon,三十三所
Avalokitesvara,三十三所
thirty-three temples sacred to Kannon (Avalokitesvara),三十三所
demisemiquaver,三十二分音符
30 days,三〇日
Thirty,三〇年戦争
Years',三〇年戦争
War,三〇年戦争
1618-1648,三〇年戦争
Thirty Years' War (1618-1648),三〇年戦争
38th,三十八度線
demarcates,三十八度線
38th parallel (that demarcates North Korea and South Korea),三十八度線
thirties,三十路
one's thirties,三十路
36,三十六計
strategies,三十六計
the 36 (ancient Chinese military) strategies (of which the last resort was said to be beating a retreat),三十六計
triplicate,三重
papal,三重冠
tiara,三重冠
(papal) triple tiara,三重宝冠
magnus,三重結び
hitch,三重結び
magnus hitch,三重結び
Mie,三重県
Mie Prefecture (Kinki area),三重県
triple play,三重殺
vocal,有声
vocal trio,三部合唱
trifocal,三重焦点
triple steal,三重盗
three spring months,三春
male bathhouse attendant,三助
third daughter,三女
singing three times,三唱
frequent reflection (meditation),三省
third power,三乗
cube root,三乗根
Triassic,三畳紀
Triassic period,三畳紀
pung,三色
triple pung,三色
three-colour,三色印刷法
three-colour process,三色印刷法
tricolor,三色旗
tricolor flag,三色旗
three-colour printing,三色版
three meals (a day),三食
second postscript,三伸
fanning,三振
fanning out,三振
three people,３人
three heads are better than two,三人よれば文殊の知恵
triple murder,３人殺し
third person,他称
threesome,３人組
prostitute of the lowest rank,三寸
eloquent tongue,三寸の舌
Henry,三世
III,三世
the third (e.g. Henry III),三世
three generations,三世
Divination,三世相
the Book of Divination,三世相
trident,三仙叉
trident dagger,三仙叉
third-term,三選
third-term election,三選
sergeant (JGSDF),３曹
three phases,三相
three-phase,三相交流
three-phase alternating current,三相交流
styles:,三体
semicursive,三体
the three character styles: square and semicursive and grass,三体
Three,三大国
the Big Three (countries),三大国
holidays, Empire Day
Prayer, Empire Day
Four, Empire Day
Quarters, Empire Day
the three grand national holidays (Prayer to the Four Quarters, Empire Day
cities, Osaka
ref., Osaka
the three most important cities (esp. in ref. to Tokyo, Osaka
threefold,３倍
third son,三男
third-base,三直
out on a third-base liner,三直
Sanzu,三途の河
River,三途の河
equivalent,同価
Styx,三途の河
Sanzu River (Buddhist equivalent of the River Styx),三途の河
three winter months,三冬
third class,３等
trisect,３等分
triumvirate,三頭政治
virtues:, wisdom and benevolence (valor)
three primary virtues: valour, wisdom and benevolence (valor)
three days,三日
nights,三日三晩
three days and three nights,三日三晩
3 days and 3 nights,三日三夜
brief championship,三日天下
unsteady,不マジメ
unsteady worker,三日ぼうず
three-day,三日路
three-day journey,三日路
act of worship which is performed three times or repeatedly,三拝
bowing repeatedly,三拝九拝
requisites,三拍子
three important requisites,三拍子
semicircular,半円形
canals,三半規管
semicircular canals,三半規管
sampan,三板
no. three,三番
calligraphers, Tachibana (no) Hayanari and Kooboo Daishi)
the three famous ancient calligraphers (Emperor Saga, Tachibana (no) Hayanari and Kooboo Daishi)
shyster,三〇〇
all daimyo,三百諸侯
sophist,三百代言
metropolitan,都風
three metropolitan prefectures (Tokyo, Kyoto
forced out on third,三封
to trisect,三分
30%,三分搗
polished,三分搗
30% polished rice,三分搗
one-mon,三文
coins,三文
three one-mon coins,三文
dime novel,三文小説
cheap seal,三文判
hack,駄馬
hack writer,三文々士
three-of-a-kind,３本
dealt,３本
three-of-a-kind (in a dealt hand),３本
cane,三本足
three legs (two legs and a cane),三本足
"ipponjime",三本締め
3-3-3-1,三本締め
hand-clapping,三本締め
celebrate,三本締め
threefold repetition of the "ipponjime" 3-3-3-1 hand-clapping pattern to celebrate a conclusion or completion,三本締め
apt,三昧
apt to,三昧
boneless,３枚
fillets,３枚
cutting a fish into two boneless fillets and a piece with the skeleton,３枚
laughing,三枚目
laughing stock,三枚目
three-act,三幕物
three-act play,三幕物
three-stringed,三味
three-stringed guitar,三味
samisen,三味線
samisen player,三味線弾き
page three (of a newspaper),三面
police news,三面記事
three-sided mirror,三面鏡
man who can do the work of many,三面六臂
tortoiseshell-and-white,三毛
tortoiseshell-and-white cat,三毛猫
crops,三毛作
three crops a year,三毛作
large triple gate to temple,三門
divisions,三役
three divisions,三役
trilobite,三葉虫
third-class,三流
prism,三稜鏡
three wheels,三輪
wheeler,三輪車
three wheeler,三輪車
third base,３塁
third baseman,三塁手
third-base line,三塁線
Sanron,三論
Sanron sect (of Buddhism),三論
mitsumata,三椏
umbrella shop,傘屋
under the umbrella,傘下
umbrella insulator,傘形碍子
oiled,傘紙
oiled umbrella paper,傘紙
bevel,斜面
bevel gear,傘歯車
long-handled,傘持
servant who carried a long-handled umbrella for a noble,傘持
80th,傘寿
80th birthday,傘寿
umbrella cloth,傘地
umbrella stand,傘立て
I give up,参った
to visit (shrine, grave)
Councillors,参院
House of Councillors (upper house of the National Diet of Japan),参議院
persons,参加希望者
participate,参加希望者
persons wishing to participate,参加希望者
participation,参画
congratulatory visit to the Imperial Palace (e.g. at New Year),参賀
congratulatory visitors,参賀者
visitor's,参賀帳
congratulatory visitor's book,参賀帳
attendance (at a meeting),参会
Councilor,参議
Cabinet Councilor,参議
member of the House of Councillors,参議院議員
pilgrimage,参詣
pilgrimage (esp. to the Ise Grand Shrine),参宮
official attendance service (by a daimyo in the Edo period),参勤交替
proceeding to,参向
reference data,参考資料
reference book,参考書
bibliography,参考書目
reference library,参考図書館
references,参考文献
councilor,参事官
assembling,参集
assembling (of people),参集
folder,参照
browsing (to a file or folder),参照
call by reference (computer),参照渡し
reference document,参照文献
participation in government,参政
under-secretary,参政官
parliamentary under-secretary,参政官
taking part in a competition or contest,参戦
meditative,参禅
abbot,修院長
meditative consultation with the head abbot,参禅
payment on sight,参着
visiting the palace,参朝
palace visit,参内
visiting a home,参堂
road approaching a shrine,参道
visiting a high-class or noble individual,参入
homage,参拝
paying homage at a shrine or temple,参拝
chief of staff,幕僚長
Headquarters,参謀本部
General Staff Headquarters,参謀本部
parliamentary councilor,参与官
going to the capital,参洛
attendee,参列者
retirement (to a temple of shrine) for prayer,参籠
fruits of the land,山の幸
horseradish,和佐比
Japanese horseradish,和佐比
yam,山いも
Dioscorea,山いも
japonica,山いも
Japanese yam (Dioscorea japonica),自然生
mountain recess,山陰
boor,山猿
wildfire,山火事
mountain district,山岳地帯
mountain area,山岳部
among the mountains,山中
mountainous,山間部
mountainous region,山間部
Yamagata,山形県
Yamagata Prefecture (Tōhoku area),山形県
Yamaguchi,山口県
Yamaguchi Prefecture (Chūgoku area),山口県
edible wild plants,山菜
Cerasus,山桜
jamasakura,山桜
mountain cherry (Cerasus jamasakura),山桜
prospector,試掘者
scenic,山紫水明
scenic beauty,風致
mountain temple,山寺
float,花車
festival float,花車
arrived,山出し
unrefined person recently arrived from the countryside,山出し
landlocked,山女魚
masu,山女魚
Oncorhynchus,山女魚
masou,山女魚
landlocked masu salmon (Oncorhynchus masou masou),山女魚
shanty,山小屋
mountain shanty,山小屋
bush,山焼け
bush fire,山焼け
mountain top,禅定
mountain castle,山城
contains,山水
garden which contains an artificial hill and a pond,山水
landscape picture,山水画
mountains and rivers,山川
mountain cottage,山荘
brigand,山賊
hilly district,山地
sasanqua,山茶花
Camellia,山茶花
sasanqua (Camellia sasanqua),山茶花
summit,山頂
summit (of a mountain),山頂
mountaineering,山登り
woodman's,山刀
hatchet,斧
woodman's hatchet,山刀
mountain trail,山道
stray cat,捨猫
wildcat,山猫争議
wildcat strike,山猫争議
bare,山はだ
bare surface of a mountain,山はだ
mountain guardian deity,山びこ
itinerant,山臥
itinerant Buddhist monk,山臥
mountainside,中腹
equal split,山わけ
mountain belt,山脈
goat,野羊
Goat,ヤギ座
the Goat,ヤギ座
Yamanashi Prefecture (Chūbu area),山梨県
mountains and forest,山林
forestry,林業
prickly,山椒
Japanese prickly ash,山椒
salamander,山椒魚
amphibian,両棲類
Caudata,山椒魚
salamander (amphibian of the order Caudata),山椒魚
horrifying,酷い
ravages,惨害
tragic event,惨劇
violent death,非業の死
horrible accident,惨事
terrible,猛烈
terrible spectacle,惨状
sudden fall of market price,惨落
painstaking,惨澹
to spread,滲み渡る
to become disarrayed (e.g. of hair),散ける
to make a mess,散らかす
scattered,薄い
to lie scattered around,散らかる
irregular,破格
writing in an irregular hand,散らし
chirashizushi,散らし鮨
to do ... all over the place,散らす
to be scattered around,散らばら
littered,散らばる
to be littered (with),散らばる
to die a noble death,散る
appearing,散見
appearing in various places,散見
to be found here and there,散在
squandering,散財
sprinkling,水まき
water sprinkling,撒水
buckshot,霰弾
shotgun,霰弾銃
scattering,散発
hair-dressing,散髪
spraying,撒布
prose,散文
pier,門柱
walkway,桟道
sparkling,粲然
radiant,眩しい
coral reef,さんご礁
maternity,母性
maternity hospital,助産院
obstetrics,産科学
paternity,父性
paternity leave,産休
occupation,産業
machinery,産業機械
industrial machinery,産業機械
childbirth,産後
after childbirth,産後
birth control,受胎調節
turning out,出動
producing,産地
producing area,生産地
midwife,助産婦
gynaecology,産婦人科
gynecology,婦人科学
department of obstetrics and gynaecology (gynecology),産婦人科
ob-gyn,産婦人科医
lanugo,生毛
spawning,産卵
vulvae,産卵口
(computer) object,算体
(computer) process,算程
computer program,算譜
Bombyx,蠶
mori,蠶
silkworm (Bombyx mori),蠶
sericulture,蚕業
sericultural,蚕具
sericultural equipment,蚕具
silkworm basket,蚕座
silk yarn,蚕糸
sericulture industry,蚕糸業
experiment,蚕糸試験所
silk experiment station,蚕糸試験所
silkworm-egg,蚕紙
silkworm-egg paper,蚕卵紙
silkworm-raising,蚕室
